BV1	PV1	BV2	PV2	Particle	MajorityClass-4	BinaryClass-2
schmiegen	anschmiegen	kuscheln	ankuscheln	an	Comp	Comp
schmieren	anschmieren	schmutzen	anschmutzen	an	AsymComp	Comp
schmieren	anschmieren	schwärzen	anschwärzen	an	ShiftDiff	Shift
schubsen	anschubsen	stupsen	anstupsen	an	Comp	Comp
schwellen	anschwellen	füllen	anfüllen	an	Comp	Comp
schwellen	anschwellen	stauen	anstauen	an	Comp	Comp
schwimmen	anschwimmen	segeln	ansegeln	an	Comp	Comp
schwindeln	anschwindeln	lügen	anlügen	an	Comp	Comp
schwirren	anschwirren	stampfen	anstampfen	an	AsymComp	Comp
sparen	ansparen	häufen	anhäufen	an	Comp	Comp
sparen	ansparen	stauen	anstauen	an	Comp	Comp
spielen	anspielen	deuten	andeuten	an	AsymComp	Comp
spitzen	anspitzen	stacheln	anstacheln	an	Comp	Comp
spornen	anspornen	stacheln	anstacheln	an	Comp	Comp
sprühen	ansprühen	pinseln	anpinseln	an	Comp	Comp
spülen	anspülen	schwemmen	anschwemmen	an	AsymComp	Comp
stampfen	anstampfen	kommen	ankommen	an	Comp	Comp
starren	anstarren	gaffen	angaffen	an	Comp	Comp
starren	anstarren	glotzen	anglotzen	an	Comp	Comp
stecken	anstecken	zünden	anzünden	an	AsymComp	Comp
stinken	anstinken	kotzen	ankotzen	an	ShiftDiff	Shift
stoßen	anstoßen	stupsen	anstupsen	an	AsymComp	Comp
strahlen	anstrahlen	grinsen	angrinsen	an	AsymComp	Comp
streichen	anstreichen	malen	anmalen	an	Comp	Comp
traben	antraben	galoppieren	angaloppieren	an	Comp	Comp
treten	antreten	fangen	anfangen	an	ShiftDiff	Shift
vertrauen	anvertrauen	befehlen	anbefehlen	an	AsymComp	Comp
visieren	anvisieren	streben	anstreben	an	Comp	Comp
wachsen	anwachsen	häufen	anhäufen	an	Comp	Comp
werben	anwerben	mieten	anmieten	an	Comp	Comp
werfen	anwerfen	schmeisen	anschmeisen	an	ShiftReg	Shift
zapfen	anzapfen	schnorren	anschorren	an	Comp	Comp
zapfen	anzapfen	stechen	anstechen	an	Comp	Comp
ziehen	anziehen	kleiden	ankleiden	an	AsymComp	Comp
zielen	anzielen	streben	anstreben	an	Comp	Comp
zischen	anzischen	fauchen	anfauchen	an	AsymComp	Comp
zischen	anzischen	pfeifen	anpfeifen	an	AsymComp	Comp
addieren	aufaddieren	rechnen	aufrechnen	auf	Comp	Comp
addieren	aufaddieren	runden	aufrunden	auf	Comp	Comp
arbeiten	aufarbeiten	holen	aufholen	auf	ShiftDiff	Shift
atmen	aufatmen	schnaufen	aufschnaufen	auf	AsymComp	Comp
baggern	aufbaggern	buddeln	aufbuddeln	auf	Comp	Comp
bauen	aufbauen	helfen	aufhelfen	auf	AsymComp	Comp
bauschen	aufbauschen	blähen	aufblähen	auf	AsymComp	Comp
begehren	aufbegehren	lehnen	auflehnen	auf	ShiftDiff	Shift
betonieren	aufbetonieren	mauern	aufmauern	auf	Comp	Comp
binden	aufbinden	schwätzen	aufschwätzen	auf	ShiftDiff	Shift
binden	aufbinden	trennen	auftrennen	auf	AsymComp	Comp
blasen	aufblasen	blähen	aufblähen	auf	AsymComp	Comp
blasen	aufblasen	pumpen	aufpumpen	auf	AsymComp	Comp
blättern	aufblättern	klappen	aufklappen	auf	AsymComp	Comp
blicken	aufblicken	sehen	aufsehen	auf	ShiftReg	Shift
blitzen	aufblitzen	schimmern	aufschimmern	auf	AsymComp	Comp
blühen	aufblühen	leben	aufleben	auf	ShiftDiff	Shift
bohren	aufbohren	fräsen	auffräsen	auf	Comp	Comp
brauchen	aufbrauchen	zehren	aufzehren	auf	ShiftDiff	Shift
brausen	aufbrausen	kochen	aufkochen	auf	ShiftDiff	Shift
brausen	aufbrausen	lehnen	auflehnen	auf	ShiftDiff	Shift
brausen	aufbrausen	sprudeln	aufsprudeln	auf	AsymComp	Comp
bringen	aufbringen	laden	aufladen	auf	AsymComp	Comp
bringen	aufbringen	schmieren	aufschmieren	auf	AsymComp	Comp
bringen	aufbringen	stacheln	aufstacheln	auf	ShiftDiff	Shift
brummen	aufbrummen	donnern	aufdonnern	auf	ShiftReg	Shift
bügeln	aufbügeln	nähen	aufnähen	auf	Comp	Comp
bürden	aufbürden	binden	aufbinden	auf	ShiftDiff	Shift
bürden	aufbürden	brummen	aufbrummen	auf	ShiftDiff	Shift
dampfen	aufdampfen	rauchen	aufrauchen	auf	Comp	Comp
decken	aufdecken	klären	aufklären	auf	ShiftDiff	Shift
donnern	aufdonnern	stylen	aufstylen	auf	AsymComp	Comp
drängen	aufdrängen	binden	aufbinden	auf	ShiftDiff	Shift
drehen	aufdrehen	schrauben	aufschrauben	auf	AsymComp	Comp
drehen	aufdrehen	zwirbeln	aufzwirbeln	auf	AsymComp	Comp
drucken	aufdrucken	montieren	aufmontieren	auf	Comp	Comp
drücken	aufdrücken	treffen	auftreffen	auf	AsymComp	Comp
erlegen	auferlegen	brummen	aufbrummen	auf	ShiftDiff	Shift
erlegen	auferlegen	bürden	aufbürden	auf	ShiftDiff	Shift
fangen	auffangen	wiegen	aufwiegen	auf	ShiftDiff	Shift
finden	auffinden	spüren	aufspüren	auf	ShiftDiff	Shift
flammen	aufflammen	brausen	aufbrausen	auf	ShiftDiff	Shift
fliegen	auffliegen	fallen	auffallen	auf	ShiftReg	Shift
fressen	auffressen	essen	aufessen	auf	Comp	Comp
fressen	auffressen	futtern	auffuttern	auf	AsymComp	Comp
führen	aufführen	spielen	aufspielen	auf	ShiftDiff	Shift
führen	aufführen	zählen	aufzählen	auf	ShiftDiff	Shift
futtern	auffuttern	essen	aufessen	auf	Comp	Comp
gabeln	aufgabeln	kreuzen	aufkreuzen	auf	ShiftDiff	Shift
geben	aufgeben	hören	aufhören	auf	ShiftDiff	Shift
geben	aufgeben	opfern	aufopfern	auf	ShiftDiff	Shift
gießen	aufgießen	füllen	auffüllen	auf	Comp	Comp
gliedern	aufgliedern	splitten	aufsplitten	auf	Comp	Comp
graben	aufgraben	bohren	aufbohren	auf	Comp	Comp
graben	aufgraben	buddeln	aufbuddeln	auf	Comp	Comp
greifen	aufgreifen	nehmen	aufnehmen	auf	ShiftReg	Shift
greifen	aufgreifen	saugen	aufsaugen	auf	AsymComp	Comp
greifen	aufgreifen	werfen	aufwerfen	auf	ShiftDiff	Shift
heben	aufheben	lesen	auflesen	auf	ShiftDiff	Shift
hellen	aufhellen	decken	aufdecken	auf	ShiftDiff	Shift
heulen	aufheulen	brüllen	aufbrüllen	auf	AsymComp	Comp
heulen	aufheulen	jaulen	aufjaulen	auf	ShiftReg	Shift
heulen	aufheulen	schluchzen	aufschluchzen	auf	AsymComp	Comp
keimen	aufkeimen	blühen	aufblühen	auf	ShiftReg	Shift
keimen	aufkeimen	kommen	aufkommen	auf	ShiftDiff	Shift
klauben	aufklauben	sammeln	aufsammeln	auf	Comp	Comp
knallen	aufknallen	prallen	aufprallen	auf	AsymComp	Comp
kommen	aufkommen	quellen	aufquellen	auf	AsymComp	Comp
krempeln	aufkrempeln	rollen	aufrollen	auf	Comp	Comp
kreuzen	aufkreuzen	tauchen	auftauchen	auf	ShiftDiff	Shift
lachen	auflachen	schluchzen	aufschluchzen	auf	Comp	Comp
lachen	auflachen	seufzen	aufseufzen	auf	Comp	Comp
laden	aufladen	brummen	aufbrummen	auf	ShiftDiff	Shift
laufen	auflaufen	marschieren	aufmarschieren	auf	AsymComp	Comp
leben	aufleben	keimen	aufkeimen	auf	ShiftDiff	Shift
lehnen	auflehnen	mucken	aufmucken	auf	ShiftDiff	Shift
lesen	auflesen	sammeln	aufsammeln	auf	AsymComp	Comp
leuchten	aufleuchten	flackern	aufflackern	auf	ShiftReg	Shift
leuchten	aufleuchten	glimmen	aufglimmen	auf	ShiftReg	Shift
leuchten	aufleuchten	schimmern	aufschimmern	auf	Comp	Comp
lodern	auflodern	flammen	aufflammen	auf	ShiftReg	Shift
